super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
30955,ASA Institute Of Business & Computer Technology,3,11,Two-year for-profit,2,1,NY,19400,New York,36047,Kings,0,275,0.79878789,0.1836585,0.020033944,1.89095E-05,35390.3968,29000,0.274209106,0.44357517,0.32679018,0.14371076,0.05970677,0.026217192,0.013222894,0.006964942,0.000415863,0.000103003,0.44333166,24916.149,19700,23600,0.16062267,0.1712801,0.29721653,0.25163236,0.21002053,0.069850542,0.033992793,0.013031097,0.001981456,0.41828805,0.45980033,0.45908639,0.49794537,0.45103508,0.17915319,0.33957693,0.24377847,0.19232664,0.045164712,0.16552109,0.27243546,0.2694793,0.20787431,0.084689856,0.19135213,0.22408453,0.27545071,0.23907514,0.070037611,0.12893395,0.29359123,0.1760198,0.28581092,0.11564407,0.096270703,0.29853204,0.20369349,0.20427091,0.19723283,4.26297E-05,0.004922005,0.000695323,0.002435886,0.004146865,0.14872099,0.20647034,0.19292387,0.24838631,0.29223156,0.75272727,1
3537,Abilene Christian University,2,6,Selective private,1,3,TX,32501,Abilene,48441,Taylor,0,838.6666667,0.55961841,0.71257001,0.014363836,0.001996945,138760.9698,101000,0.683686359,0.052441355,0.10103199,0.16393574,0.25824007,0.42435089,0.23586491,0.12660472,0.023049099,0.000841904,0.59242207,50874.14613,40100,44400,0.1212462,0.1400653,0.13294759,0.17327738,0.24644408,0.30726567,0.17170201,0.10058448,0.028367676,0.61133856,0.5487659,0.55333102,0.59738696,0.61255848,0.094144821,0.10862718,0.25599816,0.26732701,0.27390283,0.18618762,0.12963904,0.2034312,0.23309059,0.24765149,0.14365052,0.15883599,0.20837456,0.2874772,0.20166177,0.13800208,0.13981503,0.17422011,0.23329166,0.31467104,0.13462961,0.1225604,0.14174302,0.2391946,0.3618724,0.038079586,0.010980259,0.017191675,0.016094882,0.043093346,0.64650488,0.6595313,0.68103665,0.73097068,0.73434627,0,0
7531,Academy Of Art University,3,10,Four-year for-profit,1,4,CA,37800,San Francisco,6075,San Francisco,0,495.6666667,0.4142569,0.34508148,0.01635739,0.001360899,166594.9696,92300,0.649209833,0.093524233,0.12291715,0.1753495,0.21152514,0.39668405,0.24404958,0.14739551,0.035681199,0.003368349,0.51605916,39988.01721,27400,36300,0.18639259,0.20586628,0.19378209,0.18086788,0.15814623,0.26133758,0.16304491,0.087273344,0.014030807,0.46328181,0.50448275,0.50762242,0.5176,0.53499699,0.26703009,0.18542577,0.20629373,0.16635033,0.17490003,0.20905481,0.19157112,0.21893194,0.13638723,0.24405494,0.19975942,0.22083299,0.18134363,0.14692578,0.25113821,0.1993628,0.192634,0.1671838,0.1889049,0.25191447,0.19662528,0.18509193,0.17016526,0.15151256,0.29660493,0.014551297,0.011080111,0.003751543,0.003041524,0.025226077,0.26182237,0.29487798,0.32891592,0.37458456,0.37168089,0,0
2666,Adelphi University,2,6,Selective private,1,1,NY,19400,New York,36059,Nassau,0,509,0.71840209,0.54553699,0.032585073,0.002612555,130723.7409,96300,0.648892214,0.087048024,0.12853861,0.15643388,0.22986455,0.39811498,0.2053698,0.10392397,0.023863256,0.00193671,0.65645194,54029.66686,50700,55000,0.092774801,0.10051541,0.11300756,0.14764461,0.19315448,0.445678,0.24363674,0.10178581,0.014892664,0.63396782,0.62208229,0.66312301,0.65213352,0.67233694,0.098475181,0.1251636,0.19384955,0.20817724,0.37433442,0.12819031,0.11394597,0.1512318,0.19388846,0.41274351,0.090565264,0.10661294,0.1711234,0.19665042,0.43504792,0.087775581,0.13160761,0.16251582,0.19001622,0.42808473,0.10329168,0.10181998,0.1185716,0.19007106,0.48624572,0.030012798,0,0.012568131,0.019824557,0.014460809,0.47028729,0.42311192,0.59426481,0.54417533,0.58315676,0,0
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,Two-year (public and private not-for-profit),2,1,NY,18600,Albany,36113,Warren,0,663,0.5263952,0.48989117,0.009940931,2.83346E-05,75699.25196,69900,0.534996618,0.11428819,0.17760713,0.25521886,0.29444924,0.1584366,0.045389868,0.015902614,0.001922987,9.23385E-05,0.52692991,33735.5687,30300,33300,0.10809986,0.12090603,0.20071687,0.25119588,0.25800961,0.16917166,0.05964379,0.024216836,0.003172263,0.4862791,0.51428068,0.50920004,0.55884093,0.53968793,0.14055271,0.2546151,0.27408123,0.24376971,0.086981259,0.13001651,0.21152487,0.25721031,0.24916261,0.15208569,0.13742936,0.20859195,0.26899543,0.22390676,0.1610765,0.1044997,0.17422518,0.24207838,0.2861701,0.19302665,0.10039492,0.18626994,0.21621726,0.28079858,0.21631935,0.000247923,0.00042337,0.003976956,0.003720859,0.006047441,0.4659411,0.43920758,0.48725158,0.52221543,0.50816208,0,0
37,Alamo Community College District,1,9,Two-year (public and private not-for-profit),2,3,TX,31301,San Antonio,48029,Bexar,1,6901.333333,0.54037869,0.4291977,0.02440845,9.93589E-05,65078.97563,50600,0.453478906,0.21751642,0.24149129,0.21906626,0.19534898,0.12657699,0.047545817,0.018594263,0.002772422,0.000144082,0.51685178,32800.56627,29800,33800,0.1293246,0.14282957,0.18521295,0.26036778,0.25398952,0.1576001,0.057542071,0.022791557,0.002861578,0.48514804,0.50401515,0.52184069,0.5465889,0.54129559,0.15296535,0.21441993,0.29156071,0.22883967,0.11221429,0.14083973,0.20236596,0.28658718,0.24003142,0.13017568,0.14579336,0.17538156,0.25295529,0.26310804,0.16276176,0.12776069,0.15853192,0.23397042,0.2818273,0.19790967,0.14733474,0.16048925,0.21030995,0.26509443,0.21677163,0.000456788,0.002346602,0.002613616,0.00452097,0.005844766,0.35761184,0.40059936,0.44856629,0.48343232,0.48955369,0,0
2885,Albany College Of Pharmacy And Health Sciences,2,8,Nonselective four-year private not-for-profit,1,1,NY,18600,Albany,36001,Albany,0,129,0.59689921,0.74353045,0.033575334,0.000100101,90997.46875,95800,0.661741018,0.039403558,0.10187934,0.18648764,0.27667844,0.39555106,0.16515727,0.041671876,0.001978402,0.000272034,0.85815191,115474.4401,115800,128200,0.041380756,0.061036427,0.024199348,0.051073611,0.085526809,0.77816385,0.69074345,0.69074345,0.10475121,0.89533067,0.86014491,0.8680107,0.86623412,0.84363353,0.044741351,0,0.065878063,0.037291657,0.85208887,0.12127837,0,0.031325109,0.065597028,0.7817995,0.080410399,0.039945588,0.075158909,0.037168901,0.76731628,0.056634035,0.023798931,0.053064007,0.10233005,0.76417297,0.041088838,0.02569918,0.041937761,0.10651052,0.78476369,0.002540396,0.047687784,0.11761301,0.12728998,0.10780136,0.3103807,0.60340786,0.87881339,0.76463181,0.74422902,1,1
2668,Alfred University,2,6,Selective private,1,1,NY,18201,Olean,36003,Allegany,0,454.6666667,0.52639294,0.60422957,0.014770933,5.07025E-05,133071.2606,90800,0.650354717,0.065330885,0.12035545,0.19156954,0.26581183,0.35693237,0.17403902,0.089041352,0.018995715,0.003757956,0.64449984,51684.43148,44600,49100,0.083598658,0.091965511,0.11007948,0.17278266,0.25592002,0.36925241,0.21313447,0.10137612,0.015507132,0.54725033,0.60291219,0.65744209,0.67204839,0.64886087,0.21167508,0.11038922,0.19676124,0.25508031,0.22609419,0.078873955,0.16843162,0.20653209,0.25878671,0.2873756,0.071735524,0.090630203,0.19599846,0.27188414,0.36975166,0.086579472,0.091353677,0.1560711,0.25985867,0.40613711,0.089337647,0.11473074,0.15699872,0.24360573,0.39532715,0.000776088,0.019723834,0.015649114,0.005698392,0.024010053,0.48962098,0.51260233,0.59682256,0.62017643,0.64820248,0,0
1111,Allan Hancock College,1,9,Two-year (public and private not-for-profit),2,4,CA,38200,Santa Barbara,6083,Santa Barbara,0,1220,0.5262295,0.49325484,0.019464159,5.76107E-05,76983.84115,65700,0.529356321,0.1408916,0.18905991,0.23496437,0.25687888,0.1782054,0.061796099,0.02819534,0.00467001,0.000257449,0.51568305,33651.39258,30800,35500,0.14903146,0.16658391,0.19730558,0.22287741,0.22624946,0.18698375,0.088129185,0.030962626,0.002287015,0.48053664,0.49217477,0.50312835,0.53936732,0.55082315,0.19306259,0.18772399,0.2368748,0.24418868,0.1381499,0.16631782,0.26613051,0.21210781,0.17796297,0.17748086,0.15985693,0.19830666,0.23671563,0.26237261,0.14274812,0.15578754,0.17728226,0.2313793,0.20922133,0.22632961,0.17036395,0.15940693,0.19273537,0.24021105,0.23728268,0.000408901,0.002023628,0.002006519,0.001555191,0.00547605,0.44057262,0.42851302,0.44709435,0.5593698,0.56915051,1,1
3539,Alvin Community College,1,9,Two-year (public and private not-for-profit),2,3,TX,31900,Pearland,48039,Brazoria,0,675.3333333,0.55083907,0.54605395,0.017735526,0,95668.52346,84500,0.610463218,0.092303403,0.13839598,0.18687269,0.29412159,0.28830639,0.092276096,0.036763832,0.00274019,0.000818027,0.5690521,41147.06572,36600,42000,0.13197736,0.14288548,0.16364071,0.18066008,0.2418386,0.2709752,0.14410256,0.065999351,0.004575811,0.50332171,0.53306144,0.54668659,0.5839051,0.60671681,0.19089569,0.17414548,0.23121871,0.21159631,0.1921438,0.13650231,0.22526476,0.2163853,0.24319805,0.17864962,0.16605991,0.16097939,0.21172915,0.22161135,0.23962016,0.12083786,0.16722424,0.15832473,0.25375742,0.29985574,0.13804996,0.12876521,0.14997183,0.25181982,0.33139321,0,0.000663861,0.002561012,0.003519009,0.010302707,0.41134527,0.50506544,0.4969283,0.58975983,0.59611201,0,0
